full_date,Yield,hard_percent,medium_percent,friable_percent,density_wmt_bcm_percent,fe_percent,sio2_percent,al2o3_percent,p_percent,mn_percent,s_percent,cl_percent,cr_percent,k2o_percent,tio2_percent,v_percent,loi_percent,di_percent,moisture_percent,volume,as_percent,ba_percent,cao_percent,co_percent,cu_percent,mgo_percent,na2o_percent,ni_percent,pb_percent,sn_percent,sr_percent,zn_percent,zr_percent,loi_425_percent,loi_650_percent,loi_1000_percent
1/01/2018,0.724905975,19.68989335,39.00658994,41.32047947,2.877318248,59.66764032,4.873691593,2.811626021,0.069529276,0.493955275,0.035827437,0.010617972,0.034254569,0.071294577,0.217536582,0.065996849,5.43114679,8.800354468,6.876794189,347.787367,0.006792633,0.012413843,0.087282665,0.003311683,0.00274869,0.10251732,0.022000437,0.006896981,0.003333825,0.002095838,6.653933073,0.007076044,0.00483429,7.528559044,3.616799052,0.303469708
2/01/2018,0.7287343,21.5242204,41.00439429,37.48758048,2.939203826,59.57916868,6.246122664,2.959571648,0.055953147,0.420828061,0.035544914,0.011051088,0.032126734,0.064919225,0.185234133,0.062296997,4.214603744,8.865545539,6.831001583,364.4923103,0.006523481,0.015247915,0.09002343,0.002492086,0.002662426,0.09897732,0.028307393,0.005891533,0.003456645,0.002142153,7.18097015,0.004899174,0.004261589,8.10173837,2.323412699,0.304372457
3/01/2018,0.746680782,21.43631676,39.26572296,39.28455235,2.999340481,59.95725563,5.815396842,2.659030878,0.058012805,0.586084066,0.040760607,0.010281652,0.037464864,0.082302375,0.179927867,0.082263797,4.126216038,8.673598278,6.773850111,311.512761,0.007476824,0.017211362,0.086333697,0.002784894,0.002896707,0.093976333,0.026214214,0.005323336,0.00372083,0.00220152,8.170064322,0.004661047,0.003977308,9.080502723,2.270618819,0.323545444
4/01/2018,0.744622,18.29160296,42.48650068,39.24099359,2.980031526,59.37299045,6.183756931,3.095728703,0.056028119,0.650495958,0.031551624,0.013286014,0.024359147,0.076032807,0.176478728,0.057738077,4.173044402,8.216824662,6.856943575,348.1686429,0.005235192,0.015035884,0.079585912,0.002814577,0.002876231,0.094151722,0.026582089,0.005137527,0.00374867,0.00215758,5.578780645,0.004619088,0.003781095,6.582062404,2.165393166,0.318363484
5/01/2018,0.768289362,21.68225423,44.54902104,33.78311323,3.025417037,59.44957988,6.175276567,2.915458767,0.054233023,0.559809233,0.04210781,0.009278263,0.036744032,0.074442277,0.191930686,0.083135582,4.221007626,8.525693762,6.842823804,298.2607512,0.007795042,0.019548483,0.102317682,0.00270554,0.002657153,0.092167138,0.025435602,0.005063896,0.004080567,0.002140166,8.874018375,0.004262839,0.004137327,9.539209062,2.530912384,0.326522256
6/01/2018,0.770042063,23.21641018,43.40328796,33.3929488,3.020646748,59.35017996,6.171795602,2.931723541,0.054076196,0.520826702,0.043284502,0.009728246,0.038153365,0.071772112,0.191631446,0.07398863,4.425889406,8.677101247,6.886330724,336.4442941,0.007700141,0.019417014,0.104521614,0.002663177,0.00271736,0.093134369,0.025704466,0.005380721,0.003879269,0.002092186,8.559906516,0.004380551,0.004038388,9.504591635,2.509064368,0.330884492
7/01/2018,0.724509131,22.69153716,42.51624279,34.81326305,2.90472124,59.3665523,5.900911165,2.706863217,0.063757847,0.376347612,0.0507733,0.012247905,0.038656412,0.084989565,0.219298059,0.087373669,5.03291382,8.942980645,7.452174094,359.8551983,0.009396744,0.018243677,0.124637148,0.002423239,0.00280095,0.097151869,0.026890387,0.006011755,0.003721297,0.002076085,13.19778648,0.005899563,0.005121275,14.56055154,2.81409137,0.35707514
8/01/2018,0.76603378,20.18650095,37.62649683,42.19818178,2.899690798,59.23783331,5.958387745,2.873208822,0.069397068,0.359364945,0.045265454,0.011787919,0.038114385,0.094861216,0.221787561,0.076960085,4.863536863,8.437224045,7.068899083,378.1389948,0.009372144,0.019299428,0.151593519,0.002535328,0.003023505,0.104266434,0.02571375,0.007128902,0.003710832,0.002030312,12.60207893,0.006388805,0.005125464,13.21735181,3.247088919,0.327986883
9/01/2018,0.806108644,24.48252522,42.20243783,33.33875762,2.892170854,58.15666676,6.382367793,2.879154468,0.060331191,0.688648239,0.05687313,0.011844201,0.03735379,0.083785825,0.219321661,0.083589241,5.544253761,8.802082747,6.895984776,362.5287539,0.00883902,0.021712237,0.154255962,0.002315747,0.002755299,0.109303448,0.028343706,0.005602466,0.003935885,0.001717751,12.9585802,0.004686687,0.005136238,14.23286489,3.236064366,0.37601209
10/01/2018,0.790726638,17.14789877,41.27515372,42.02613721,2.974268448,59.85943678,5.361363697,2.785217983,0.058964264,0.40854744,0.036505796,0.007940833,0.049175924,0.061924946,0.243679889,0.073618561,4.80393566,8.259315405,6.946141126,319.2337052,0.006179779,0.012060042,0.099504446,0.002971859,0.003040243,0.090401012,0.022055299,0.00648675,0.003655708,0.002132267,9.909207825,0.006923711,0.005834837,10.22658336,3.480448361,0.315110784
11/01/2018,0.782793393,18.44376595,43.50440785,38.38980748,2.940632384,59.2376048,5.543596676,3.000919389,0.058724666,0.392996501,0.038116606,0.00928275,0.042174017,0.057283564,0.25550023,0.064931609,5.292852346,8.406255685,6.747254318,293.1105735,0.006079635,0.011672491,0.09746092,0.002755889,0.003028045,0.089948719,0.023155572,0.006039498,0.003518692,0.002058067,9.049443767,0.006052822,0.006192303,9.660278221,3.676163917,0.319128403
12/01/2018,0.777794382,21.96970376,40.56653346,37.82333429,2.991176036,59.47101585,6.012659572,3.00083522,0.054496608,0.490180455,0.040224268,0.010848925,0.046796882,0.082708772,0.216750274,0.090146825,4.343435031,9.045546558,6.826860595,319.308445,0.007313018,0.017111506,0.092520394,0.002859112,0.003297224,0.097575878,0.028567376,0.005457568,0.003702974,0.002079409,11.92627788,0.00480255,0.005001337,12.92048115,2.390483226,0.321622306
13/01/2018,0.776357509,20.09536217,40.97854788,39.11180758,2.910414871,58.91265307,5.833478783,2.967712335,0.066054039,0.489715708,0.045163131,0.010320389,0.062452049,0.087398375,0.242908682,0.088341219,5.252920971,8.839688471,6.705318006,329.9625263,0.008418331,0.016928801,0.091710361,0.003015247,0.003314146,0.099158402,0.025978373,0.00612852,0.003695054,0.001813721,14.5101559,0.00599539,0.005500962,15.60509528,3.20136209,0.32856267
14/01/2018,0.825520679,20.03128421,43.67074016,36.31406198,2.899899708,58.84229363,5.798840863,2.819865467,0.061231763,0.321272355,0.049072011,0.008354737,0.077189052,0.056835731,0.288940121,0.079820383,5.730775528,8.914218895,6.384254844,283.2927349,0.008751644,0.014466107,0.091156875,0.002430391,0.002443971,0.084216256,0.022788615,0.006055969,0.003557504,0.00172116,17.15581435,0.005169019,0.00679362,17.93160896,4.00821604,0.327572376
15/01/2018,0.755319651,23.42900408,43.60741659,33.00191585,3.028366507,59.97569222,5.577818979,2.681928993,0.048551106,0.495748475,0.039095712,0.011714528,0.041143014,0.057213339,0.175833699,0.097747419,4.433446191,8.8690921,6.938832363,355.7814622,0.007110171,0.01802143,0.085155881,0.002344182,0.002296966,0.08046023,0.026332449,0.004281491,0.003800866,0.002122801,8.625725289,0.003577507,0.003928597,9.983511751,2.248651443,0.314787046
16/01/2018,0.756126781,22.98873547,44.09635204,32.94752564,2.978039028,59.26788581,5.23736025,2.775142239,0.0588153,0.811876355,0.046885548,0.009745962,0.037987512,0.066846717,0.21608425,0.072369679,5.225278415,8.690872919,6.825065967,316.2248388,0.007342491,0.019178215,0.089913803,0.002729137,0.002560962,0.094397792,0.026019877,0.005408081,0.003856836,0.002081016,8.640958507,0.005136513,0.004938955,9.733447152,3.120173057,0.348430799
17/01/2018,0.8374419,24.0309616,38.95578509,37.02145304,2.972653823,59.48436765,5.795814292,2.488973179,0.062306334,0.742456654,0.050063147,0.005722186,0.058511134,0.071017355,0.184630943,0.099894679,4.608314272,8.3904264,6.973207935,307.7009549,0.009678442,0.022789083,0.114302215,0.002259395,0.002624063,0.109825449,0.024505464,0.005145209,0.004705976,0.00216945,17.34953268,0.00497743,0.003980321,17.40841164,3.171328323,0.313933394
23/01/2018,0.800720698,27.16536596,41.0847035,31.75013871,3.094193233,61.40983346,4.202256255,2.215357219,0.061596447,0.422693317,0.056883658,0.004654704,0.054801277,0.037320828,0.461490438,0.108678465,4.031816389,9.548981217,7.675066269,259.4236103,0.009723159,0.015564437,0.076450135,0.001954636,0.002634589,0.061718301,0.019341264,0.003621488,0.004601626,0.002509488,10.25838407,0.003386894,0.011195157,10.30874005,2.791737479,0.330500704
24/01/2018,0.800350276,26.95307574,41.93319059,31.11442197,3.136771776,60.40017546,5.282702165,2.880825135,0.05103784,0.473543343,0.038778411,0.005560439,0.030850687,0.044709818,0.270518967,0.074560829,3.934950656,9.542127,7.325820016,281.7887075,0.006121837,0.017119324,0.077839157,0.002083543,0.002395808,0.081896839,0.022577869,0.004578611,0.004058117,0.002542342,6.455280983,0.004048566,0.006493693,6.523614447,2.71290414,0.325688924
25/01/2018,0.80227984,26.00773807,40.70660195,33.29433179,3.15762401,59.64589874,5.665816131,3.073086021,0.053407963,0.602071963,0.033574074,0.00829623,0.0233331,0.052851943,0.171079808,0.073429527,4.30956001,8.300483604,7.223975718,482.4741454,0.004907621,0.018529203,0.085699625,0.002172185,0.002367948,0.09272859,0.022838764,0.004943199,0.003842235,0.002265663,4.207941251,0.004530817,0.003896038,4.705033798,2.834597803,0.338213597
26/01/2018,0.790890404,19.3330159,41.50558775,39.16154776,3.106133501,60.92480528,4.547025377,2.557927643,0.077321454,0.537511392,0.033988134,0.005571936,0.057056901,0.067113666,0.158450078,0.10554637,4.072992096,7.92771255,8.030201406,502.2305787,0.006133662,0.014980999,0.095574203,0.004655283,0.003787254,0.092462543,0.018587294,0.009581503,0.004422022,0.002324342,14.61783777,0.013409974,0.003372839,14.62159687,3.055721255,0.310364891
27/01/2018,0.776829193,17.91244262,40.18673366,41.90082372,3.166740461,60.77331043,4.658281345,2.665862639,0.077551,0.580969407,0.037000991,0.004914952,0.060817599,0.08502088,0.167008357,0.120661618,3.934636176,7.79901233,8.338839838,335.5951773,0.005900487,0.016740262,0.075721354,0.0051449,0.004022441,0.088335041,0.017849116,0.009227119,0.004300638,0.002312653,18.6087908,0.013436315,0.003564134,18.6087908,2.882397644,0.31220622
3/02/2018,0.736565496,23.42821281,42.67757482,34.16822517,3.156305217,60.01625804,5.531319406,2.577923147,0.056237531,0.769743191,0.047131432,0.005309893,0.062332295,0.074522076,0.217712643,0.107221841,3.97801071,8.486132342,7.137358671,213.6533154,0.009093935,0.027099561,0.084799858,0.002613249,0.003230167,0.076933866,0.020458995,0.004633229,0.004145964,0.002222912,15.51785536,0.005103328,0.004852117,16.01362848,2.573707447,0.366806041
4/02/2018,0.830806365,18.37692561,44.06228777,37.59935395,3.142990266,60.09236272,5.078003429,2.652711276,0.059198056,0.789660528,0.048555264,0.005400656,0.049730485,0.062582093,0.186160958,0.086905126,4.343219185,8.228185184,7.386833344,259.1521273,0.006525938,0.022230604,0.096191561,0.002450745,0.003291236,0.087408114,0.020047242,0.004250561,0.004229453,0.002289103,7.282677985,0.005351488,0.00425956,8.141962441,2.58023904,0.383657319
5/02/2018,0.814454855,15.76168268,41.04176867,43.30525307,3.100030188,60.13503405,5.350748391,2.894574784,0.061115134,0.537846249,0.041554424,0.008291396,0.048218733,0.070863686,0.175738342,0.082080924,4.060423646,7.921135753,7.700485104,318.6450236,0.005503574,0.016307113,0.122323958,0.003902593,0.004269158,0.098519086,0.022436988,0.006435721,0.003666506,0.002228217,11.60351216,0.008580414,0.003898228,12.53166135,2.285328435,0.352674822
6/02/2018,0.803936739,17.06539787,39.78746535,43.19649354,3.063409878,59.38035416,5.836196047,3.284035451,0.055673857,0.513970072,0.039780306,0.011898447,0.04084587,0.070597892,0.186963839,0.067609486,4.323208754,7.381339407,7.461738593,366.6916559,0.004914389,0.016059953,0.110288132,0.003727999,0.004168362,0.104050313,0.026018766,0.007227985,0.003442958,0.002079102,11.09609864,0.008229561,0.004227145,12.93150489,1.885968106,0.357153031
7/02/2018,0.80463873,22.88382791,41.83507879,35.36134296,3.055745953,59.26182028,6.041135042,2.967537577,0.05389832,0.327565702,0.04093334,0.007302478,0.035489583,0.045011737,0.283739796,0.052544352,4.808386416,7.82450575,6.608480774,320.2092926,0.005276013,0.013796278,0.179652696,0.001854776,0.003663338,0.110272648,0.022953184,0.004072659,0.003755598,0.002107176,3.511650273,0.004288496,0.007115677,5.088416087,2.658181762,0.347701965
8/02/2018,0.783095568,24.28867553,44.76699637,30.71109803,3.019473487,59.73714523,5.66094482,2.670463611,0.062864,0.361770011,0.045709328,0.007099973,0.048912432,0.048057629,0.280977848,0.069302781,4.699249056,8.251924827,6.967852784,280.1970639,0.007878099,0.013942736,0.189377874,0.002155242,0.003624941,0.109618991,0.02479001,0.004438493,0.004142578,0.002114859,3.579846554,0.004869455,0.006599976,4.816689854,2.442266205,0.354416459
9/02/2018,0.773157237,24.26942473,45.64619914,30.00618947,3.035785092,59.81524728,5.995278849,2.689103779,0.059772854,0.451877768,0.045293227,0.006296851,0.053083957,0.058915369,0.22617142,0.074346162,4.216632534,8.426249807,7.103933051,345.4051422,0.008886744,0.016242844,0.119410339,0.002622711,0.00300633,0.103589713,0.025303796,0.005206553,0.004134369,0.002070406,3.624710058,0.00663156,0.004756364,5.031841442,1.942275076,0.342228629
10/02/2018,0.793709648,21.9530845,41.89665226,36.14255593,3.030741638,59.89255673,5.828305231,2.668005221,0.065010702,0.530636798,0.04824752,0.006208244,0.053404461,0.069807248,0.234498741,0.081310494,4.098453311,8.296845245,7.579490065,319.6740133,0.008172851,0.016751798,0.125065777,0.003566512,0.003699262,0.100621749,0.023989674,0.005946768,0.004027098,0.00216492,7.961578801,0.007940829,0.00495661,9.684604727,1.587959584,0.341425236
11/02/2018,0.778075867,18.34303906,39.70321244,41.93707792,2.965168631,59.05865424,6.520629022,3.192237702,0.057844481,0.525113036,0.046161368,0.010069613,0.040114979,0.066683928,0.224258382,0.055608832,4.185022645,8.11400509,7.075218811,338.8218568,0.00591436,0.015684714,0.106964826,0.003428926,0.003795833,0.104635871,0.026453639,0.006562822,0.003381763,0.002089276,6.346479084,0.006528664,0.00477569,8.409664288,1.477594635,0.339874063
12/02/2018,0.787081294,21.25868647,41.87839807,36.83731288,3.034268584,59.9435908,5.992996212,2.71880364,0.055568194,0.521647687,0.045673281,0.006432462,0.043505043,0.061734915,0.20054611,0.067897287,3.945977879,8.6071584,7.127842615,318.0072331,0.007354465,0.017973384,0.101243991,0.002601543,0.003027884,0.096461123,0.025771895,0.005337011,0.003944373,0.002342485,4.058451973,0.004921045,0.004275768,5.820561208,1.513878403,0.339122988
13/02/2018,0.791727311,19.42856922,45.74822734,34.77077112,2.985267885,59.43479154,6.499343444,2.72672354,0.049486483,0.435365527,0.043178904,0.007292533,0.039141616,0.054115682,0.204921467,0.057169392,4.267260798,8.036260647,6.626583108,311.5479562,0.006486143,0.016109831,0.13923841,0.00216868,0.003185879,0.1151934,0.025963825,0.004279249,0.00383957,0.002281871,0.745744354,0.00404396,0.004534919,3.06970757,1.37299445,0.344478208
14/02/2018,0.756963125,17.6766699,40.27932715,42.02394196,2.956904815,59.50947548,5.959941475,2.686780989,0.051847354,0.510090676,0.037424897,0.007233886,0.030037899,0.055423154,0.234201604,0.034741709,4.680147482,7.628538938,6.175461281,322.1589895,0.005436849,0.015316307,0.101990138,0.00226235,0.002967322,0.102460598,0.022145366,0.004473807,0.003517084,0.002170984,0.886841259,0.00496046,0.005529416,3.662522107,1.390562527,0.33390163
15/02/2018,0.77866236,19.16733342,43.21161565,37.60740447,2.921487719,59.76119237,5.551393253,2.519728346,0.050433424,0.578157443,0.034323704,0.006907219,0.028854356,0.05848262,0.205011754,0.034604006,4.89164753,7.983550097,6.366044105,307.0428162,0.00504379,0.016215734,0.075190481,0.002459743,0.002894163,0.093664272,0.019658021,0.004253802,0.003744252,0.002184437,1.499940188,0.004676006,0.00458249,3.748113038,1.998632346,0.324751768
16/02/2018,0.798883199,18.48880298,39.96262231,41.54108625,3.043334936,60.31899058,5.626896032,2.570204848,0.048643371,0.459575266,0.037091857,0.006662915,0.041251344,0.053682597,0.210913952,0.0575881,4.127358598,7.959136322,6.635821986,295.4497001,0.005442629,0.016712071,0.084799751,0.002400983,0.002950352,0.090132568,0.020865247,0.004287691,0.003821632,0.002343746,2.88504103,0.004677336,0.004817303,4.974728649,1.412106937,0.315549057
17/02/2018,0.783001451,19.96365935,41.70032682,38.34468879,3.036974401,59.92114433,5.976092771,2.7135243,0.046858837,0.502422736,0.03656184,0.007648129,0.040498294,0.050936938,0.195399919,0.062006374,4.157984672,8.01318124,6.678156472,296.3550471,0.005218652,0.01572785,0.108804909,0.00236614,0.002925005,0.095992413,0.023617687,0.00422586,0.003819686,0.002302231,1.107735461,0.003961304,0.004293415,3.638485282,1.107254047,0.330899783
18/02/2018,0.785761228,19.17651347,42.67191784,38.15968204,3.016632839,59.62789814,5.997590774,2.958306492,0.052592766,0.471835502,0.042046647,0.008802192,0.04472321,0.067096758,0.211031554,0.070229286,4.212157211,7.926592769,7.056676337,313.3910571,0.006411622,0.014754994,0.113808773,0.002273271,0.003110188,0.102406989,0.025904949,0.005064617,0.003937604,0.002281892,0.345551041,0.004299212,0.004573955,3.156035352,0.971570608,0.336096056
19/02/2018,0.734214632,18.44328546,44.15390176,37.40391476,2.966107641,59.44869914,6.085201041,2.820059589,0.060598835,0.478513442,0.049866043,0.008134703,0.045147799,0.083112589,0.23168455,0.067364801,4.456672239,8.339528565,7.381063095,333.3045793,0.008535845,0.015725827,0.105542646,0.002788234,0.003437402,0.113164984,0.025990401,0.005392108,0.003957236,0.002303046,0.292990915,0.005223648,0.005008899,3.39078802,0.963286931,0.343419649
20/02/2018,0.772828597,18.91715542,46.11439372,34.97065806,2.997896736,59.53654415,5.954047252,2.879019082,0.059241407,0.418296507,0.053409065,0.009866164,0.052904531,0.071707754,0.232117579,0.083160779,4.457306159,8.799527029,7.539481408,340.4395046,0.008787189,0.015670605,0.092420891,0.002519769,0.002993929,0.10073151,0.026046476,0.005720549,0.004016952,0.002317884,0.483089295,0.004562745,0.005029348,3.443069957,1.050121103,0.34722719
21/02/2018,0.77724989,20.09476808,47.44806239,32.45781639,3.003836246,59.30202513,6.324003795,2.712733202,0.058555809,0.370357324,0.059647439,0.00787883,0.058440771,0.078721858,0.254748576,0.088601291,4.60848982,8.622706149,7.471063336,356.6564313,0.009668987,0.015086401,0.12794141,0.00225072,0.003283997,0.107678562,0.025780386,0.004732618,0.004570458,0.002392647,0.642123194,0.004137202,0.005675361,3.408440199,1.239659513,0.371337009
22/02/2018,0.78431961,21.79596025,46.66133317,31.54163166,3.003861034,59.51962227,6.254359199,2.630734859,0.061147872,0.391595085,0.058582316,0.006345645,0.058390501,0.082357475,0.253782544,0.095132535,4.388774394,8.416616976,7.402788672,297.0760448,0.010362454,0.014610747,0.111989175,0.002144262,0.002965314,0.100990065,0.025571155,0.004735526,0.004537732,0.002365177,4.321851789,0.004063116,0.005525533,6.426078932,1.582897513,0.372499787
23/02/2018,0.79029169,21.5324669,45.22633387,33.243597,2.975316553,58.93961486,6.580184054,2.837022126,0.057464325,0.467010806,0.058565294,0.006965425,0.050091508,0.083626541,0.265713142,0.07608344,4.636884257,8.205139213,7.197628535,332.4875503,0.008901604,0.014251343,0.098775613,0.002298496,0.002978926,0.106099027,0.026822023,0.004591107,0.004514289,0.002322237,2.665730265,0.004451639,0.005710682,5.235250103,1.417798432,0.3689334
24/02/2018,0.755963181,19.31872498,43.04261334,37.63873367,2.986277401,59.37037632,6.097678915,2.955585981,0.057078496,0.554080184,0.046606389,0.00717676,0.040326202,0.08104511,0.216249955,0.065116246,4.355236526,7.816392132,6.974323741,325.1612846,0.006285375,0.015072174,0.102428777,0.003088781,0.003524084,0.107293538,0.026273513,0.005118485,0.003832126,0.002343147,1.681992232,0.005689312,0.00450867,3.918680385,1.442943246,0.354901153
